COV,Intensity,SV,chainLength,unsaturationUnit,isomer,sphingoidBackbone,lipidSpecies
-10,0,0,16,1,Gal,d18:1,16:1
-9.8,0,0,16,1,Gal,d18:1,16:1
-9.6,0,0,16,1,Gal,d18:1,16:1
-9.4,0,0,16,1,Gal,d18:1,16:1
-9.2,0,0,16,1,Gal,d18:1,16:1
-9,0,0,16,1,Gal,d18:1,16:1
-8.8,0,0,16,1,Gal,d18:1,16:1
-8.6,0,0,16,1,Gal,d18:1,16:1
-8.4,0,0,16,1,Gal,d18:1,16:1
-8.2,0,0,16,1,Gal,d18:1,16:1
-8,0,0,16,1,Gal,d18:1,16:1
-7.8,0,0,16,1,Gal,d18:1,16:1
-7.6,0,0,16,1,Gal,d18:1,16:1
-7.4,0,0,16,1,Gal,d18:1,16:1
-7.2,0,0,16,1,Gal,d18:1,16:1
-7,0,0,16,1,Gal,d18:1,16:1
-6.8,0,0,16,1,Gal,d18:1,16:1
-6.6,0,0,16,1,Gal,d18:1,16:1
-6.4,0,0,16,1,Gal,d18:1,16:1
-6.2,0,0,16,1,Gal,d18:1,16:1
-6,0,0,16,1,Gal,d18:1,16:1
-5.8,0,0,16,1,Gal,d18:1,16:1
-5.6,0,0,16,1,Gal,d18:1,16:1
-5.4,0,0,16,1,Gal,d18:1,16:1
-5.2,0,0,16,1,Gal,d18:1,16:1
-5,0,0,16,1,Gal,d18:1,16:1
-4.8,0,0,16,1,Gal,d18:1,16:1
-4.6,0,0,16,1,Gal,d18:1,16:1
-4.4,0,0,16,1,Gal,d18:1,16:1
-4.2,0,0,16,1,Gal,d18:1,16:1
-4,0,0,16,1,Gal,d18:1,16:1
-3.8,0,0,16,1,Gal,d18:1,16:1
-3.6,0,0,16,1,Gal,d18:1,16:1
-3.4,0,0,16,1,Gal,d18:1,16:1
-3.2,0,0,16,1,Gal,d18:1,16:1
-3,0,0,16,1,Gal,d18:1,16:1
-2.8,0,0,16,1,Gal,d18:1,16:1
-2.6,0,0,16,1,Gal,d18:1,16:1
-2.4,0,0,16,1,Gal,d18:1,16:1
-2.2,0,0,16,1,Gal,d18:1,16:1
-2,0,0,16,1,Gal,d18:1,16:1
-1.8,0,0,16,1,Gal,d18:1,16:1
-1.6,40,0,16,1,Gal,d18:1,16:1
-1.4,20,0,16,1,Gal,d18:1,16:1
-1.2,280,0,16,1,Gal,d18:1,16:1
-1,1500,0,16,1,Gal,d18:1,16:1
-0.8,3880,0,16,1,Gal,d18:1,16:1
-0.6,4640,0,16,1,Gal,d18:1,16:1
-0.4,5740,0,16,1,Gal,d18:1,16:1
-0.2,5200,0,16,1,Gal,d18:1,16:1
0,3680,0,16,1,Gal,d18:1,16:1
0.2,3140,0,16,1,Gal,d18:1,16:1
0.4,1540,0,16,1,Gal,d18:1,16:1
0.6,2000,0,16,1,Gal,d18:1,16:1
0.8,1520,0,16,1,Gal,d18:1,16:1
1,800,0,16,1,Gal,d18:1,16:1
1.2,80,0,16,1,Gal,d18:1,16:1
1.4,0,0,16,1,Gal,d18:1,16:1
1.6,0,0,16,1,Gal,d18:1,16:1
1.8,0,0,16,1,Gal,d18:1,16:1
2,0,0,16,1,Gal,d18:1,16:1
2.2,0,0,16,1,Gal,d18:1,16:1
2.4,0,0,16,1,Gal,d18:1,16:1
2.6,0,0,16,1,Gal,d18:1,16:1
2.8,0,0,16,1,Gal,d18:1,16:1
3,0,0,16,1,Gal,d18:1,16:1
3.2,0,0,16,1,Gal,d18:1,16:1
3.4,0,0,16,1,Gal,d18:1,16:1
3.6,0,0,16,1,Gal,d18:1,16:1
3.8,0,0,16,1,Gal,d18:1,16:1
4,0,0,16,1,Gal,d18:1,16:1
4.2,0,0,16,1,Gal,d18:1,16:1
4.4,0,0,16,1,Gal,d18:1,16:1
4.6,0,0,16,1,Gal,d18:1,16:1
4.8,0,0,16,1,Gal,d18:1,16:1
5,0,0,16,1,Gal,d18:1,16:1
5.2,0,0,16,1,Gal,d18:1,16:1
5.4,0,0,16,1,Gal,d18:1,16:1
5.6,0,0,16,1,Gal,d18:1,16:1
5.8,0,0,16,1,Gal,d18:1,16:1
6,0,0,16,1,Gal,d18:1,16:1
6.2,0,0,16,1,Gal,d18:1,16:1
6.4,0,0,16,1,Gal,d18:1,16:1
6.6,0,0,16,1,Gal,d18:1,16:1
6.8,0,0,16,1,Gal,d18:1,16:1
7,0,0,16,1,Gal,d18:1,16:1
7.2,0,0,16,1,Gal,d18:1,16:1
7.4,0,0,16,1,Gal,d18:1,16:1
7.6,0,0,16,1,Gal,d18:1,16:1
