COV,Intensity,SV,chainLength,unsaturationUnit,isomer,sphingoidBackbone,lipidSpecies
-5.4,0,100,16,1,Glc,d18:1,16:1
-5.2,0,100,16,1,Glc,d18:1,16:1
-5,0,100,16,1,Glc,d18:1,16:1
-4.8,0,100,16,1,Glc,d18:1,16:1
-4.6,0,100,16,1,Glc,d18:1,16:1
-4.4,0,100,16,1,Glc,d18:1,16:1
-4.2,0,100,16,1,Glc,d18:1,16:1
-4,0,100,16,1,Glc,d18:1,16:1
-3.8,0,100,16,1,Glc,d18:1,16:1
-3.6,0,100,16,1,Glc,d18:1,16:1
-3.4,0,100,16,1,Glc,d18:1,16:1
-3.2,0,100,16,1,Glc,d18:1,16:1
-3,0,100,16,1,Glc,d18:1,16:1
-2.8,0,100,16,1,Glc,d18:1,16:1
-2.6,0,100,16,1,Glc,d18:1,16:1
-2.4,0,100,16,1,Glc,d18:1,16:1
-2.2,0,100,16,1,Glc,d18:1,16:1
-2,0,100,16,1,Glc,d18:1,16:1
-1.8,0,100,16,1,Glc,d18:1,16:1
-1.6,0,100,16,1,Glc,d18:1,16:1
-1.4,100,100,16,1,Glc,d18:1,16:1
-1.2,480,100,16,1,Glc,d18:1,16:1
-1,1480,100,16,1,Glc,d18:1,16:1
-0.8,2680,100,16,1,Glc,d18:1,16:1
-0.6,4460,100,16,1,Glc,d18:1,16:1
-0.4,3500,100,16,1,Glc,d18:1,16:1
-0.2,3980,100,16,1,Glc,d18:1,16:1
0,2420,100,16,1,Glc,d18:1,16:1
0.2,1920,100,16,1,Glc,d18:1,16:1
0.4,1380,100,16,1,Glc,d18:1,16:1
0.6,1140,100,16,1,Glc,d18:1,16:1
0.8,840,100,16,1,Glc,d18:1,16:1
1,480,100,16,1,Glc,d18:1,16:1
1.2,160,100,16,1,Glc,d18:1,16:1
1.4,20,100,16,1,Glc,d18:1,16:1
1.6,0,100,16,1,Glc,d18:1,16:1
1.8,0,100,16,1,Glc,d18:1,16:1
2,0,100,16,1,Glc,d18:1,16:1
2.2,0,100,16,1,Glc,d18:1,16:1
2.4,0,100,16,1,Glc,d18:1,16:1
2.6,0,100,16,1,Glc,d18:1,16:1
2.8,0,100,16,1,Glc,d18:1,16:1
